# E(keV) bin 1    bin 2    bin 3    bin 4    bin 5    bin 6    bin 7    bin 8    bin 9
3.00e+00 1.44e-22 2.70e-32 1.23e-42 0.00e+00 0.00e+00 0.00e+00 1.44e-22 1.23e-42 0.00e+00
1.30e+01 9.21e-09 7.58e-14 1.25e-19 6.21e-40 0.00e+00 0.00e+00 9.21e-09 1.25e-19 0.00e+00
2.30e+01 1.74e-04 1.07e-07 1.24e-11 1.51e-26 0.00e+00 0.00e+00 1.74e-04 1.24e-11 2.64e-32
3.30e+01 2.22e-02 2.79e-04 6.56e-07 5.47e-18 8.20e-38 0.00e+00 2.25e-02 6.56e-07 1.71e-22
4.30e+01 1.59e-01 1.68e-02 3.50e-04 1.89e-12 1.24e-28 1.82e-43 1.76e-01 3.50e-04 4.95e-16
5.30e+01 2.23e-01 1.21e-01 1.40e-02 1.28e-08 6.89e-22 1.43e-34 3.44e-01 1.40e-02 1.82e-11
6.30e+01 1.10e-01 2.12e-01 9.84e-02 4.73e-06 5.28e-17 5.47e-28 3.21e-01 9.84e-02 2.59e-08
7.30e+01 2.77e-02 1.54e-01 2.51e-01 2.58e-04 2.20e-13 5.56e-23 1.82e-01 2.51e-01 4.20e-06
8.30e+01 4.38e-03 6.14e-02 3.67e-01 4.07e-03 1.36e-10 5.26e-19 6.58e-02 3.71e-01 1.65e-04
9.30e+01 4.65e-04 1.52e-02 3.96e-01 2.73e-02 2.31e-08 1.01e-15 1.57e-02 4.21e-01 2.44e-03
1.03e+02 3.40e-05 2.47e-03 3.41e-01 9.81e-02 1.50e-06 6.05e-13 2.50e-03 4.21e-01 1.75e-02
1.13e+02 1.91e-06 2.89e-04 2.29e-01 2.13e-01 4.09e-05 1.22e-10 2.91e-04 3.74e-01 6.77e-02
1.23e+02 7.75e-08 2.38e-05 1.14e-01 3.28e-01 5.91e-04 1.16e-08 2.39e-05 2.76e-01 1.66e-01
1.33e+02 2.18e-09 1.33e-06 3.98e-02 3.97e-01 5.03e-03 5.94e-07 1.33e-06 1.55e-01 2.87e-01
1.43e+02 5.40e-11 6.21e-08 1.05e-02 4.06e-01 2.41e-02 1.42e-05 6.21e-08 6.64e-02 3.74e-01
1.53e+02 1.33e-12 2.71e-09 2.23e-03 3.66e-01 7.14e-02 1.73e-04 2.71e-09 2.26e-02 4.17e-01
1.63e+02 2.86e-14 1.00e-10 3.75e-04 2.85e-01 1.51e-01 1.32e-03 1.00e-10 6.04e-03 4.32e-01
1.73e+02 5.43e-16 3.19e-12 5.09e-05 1.86e-01 2.43e-01 6.76e-03 3.19e-12 1.28e-03 4.34e-01
1.83e+02 9.29e-18 8.90e-14 5.69e-06 1.01e-01 3.09e-01 2.42e-02 8.90e-14 2.21e-04 4.34e-01
1.93e+02 1.44e-19 2.21e-15 5.32e-07 4.46e-02 3.23e-01 6.38e-02 2.21e-15 3.14e-05 4.31e-01
2.03e+02 2.05e-21 4.92e-17 4.23e-08 1.62e-02 2.83e-01 1.29e-01 4.92e-17 3.73e-06 4.28e-01
2.13e+02 2.71e-23 9.96e-19 2.91e-09 4.89e-03 2.10e-01 2.06e-01 9.96e-19 3.78e-07 4.21e-01
2.23e+02 3.33e-25 1.85e-20 1.74e-10 1.23e-03 1.31e-01 2.71e-01 1.85e-20 3.29e-08 4.04e-01
2.33e+02 3.83e-27 3.16e-22 9.25e-12 2.63e-04 6.94e-02 2.99e-01 3.16e-22 2.51e-09 3.69e-01
2.43e+02 4.16e-29 5.03e-24 4.38e-13 4.80e-05 3.12e-02 2.81e-01 5.03e-24 1.68e-10 3.12e-01
2.53e+02 4.29e-31 7.48e-26 1.87e-14 7.55e-06 1.20e-02 2.27e-01 7.48e-26 1.00e-11 2.39e-01
2.63e+02 4.21e-33 1.05e-27 7.23e-16 1.04e-06 3.94e-03 1.58e-01 1.05e-27 5.38e-13 1.62e-01
2.73e+02 3.95e-35 1.39e-29 2.56e-17 1.25e-07 1.12e-03 9.59e-02 1.39e-29 2.61e-14 9.70e-02
2.83e+02 3.56e-37 1.74e-31 8.33e-19 1.34e-08 2.77e-04 5.04e-02 1.74e-31 1.15e-15 5.07e-02
2.93e+02 3.08e-39 2.08e-33 2.51e-20 1.29e-09 6.00e-05 2.31e-02 2.08e-33 4.67e-17 2.31e-02
3.03e+02 2.58e-41 2.38e-35 7.04e-22 1.11e-10 1.15e-05 9.25e-03 2.38e-35 1.75e-18 9.26e-03
3.13e+02 2.03e-43 2.61e-37 1.84e-23 8.69e-12 1.95e-06 3.26e-03 2.61e-37 6.06e-20 3.26e-03
3.23e+02 0.00e+00 2.76e-39 4.54e-25 6.20e-13 2.97e-07 1.01e-03 2.76e-39 1.96e-21 1.01e-03
3.33e+02 0.00e+00 2.81e-41 1.05e-26 4.06e-14 4.06e-08 2.80e-04 2.81e-41 5.93e-23 2.80e-04
3.43e+02 0.00e+00 2.72e-43 2.32e-28 2.44e-15 5.04e-09 6.91e-05 2.72e-43 1.69e-24 6.91e-05

